file,peak,plato,Ra,Rm+Ra,Rm,tau,Cm,Ih,Cell,Stimulation_Type,VC,Rm_scaled,Cm_scaled
2020_02_13_0024,-176.0460663,-51.72321701,56.8033141,193.3367756,136.5334615,0.953621268,8.418848985,-120.2026291,3,control,-70,0,1
2020_02_13_0024,-170.552887,-32.86887741,58.63283922,304.2391705,245.6063313,0.909566402,4.436754423,-123.1166229,3,control,-70,0.542395256,0.421458124
2020_02_13_0024,-171.3991089,-31.09013748,58.3433605,321.6454094,263.3020489,1.074051261,4.639843889,-123.9188004,3,control,-70,0.630392145,0.450964144
2020_02_13_0024,-167.3707886,-32.12148666,59.74758251,311.3180939,251.5705113,0.854364634,3.751488625,-120.3595734,3,control,-70,0.572053804,0.321898721
2020_02_13_0024,-169.059082,-32.45529175,59.1509186,308.1161642,248.9652456,0.839860976,4.084518064,-122.5638199,3,control,-70,0.559098394,0.370283176
2020_02_13_0024,-168.8894196,-36.82947922,59.21034027,271.5216238,212.3112835,0.838014483,4.631102424,-120.0003433,3,control,-70,0.376826348,0.449694133
2020_02_13_0024,-170.250824,-34.33619308,58.73686697,291.2378776,232.5010107,0.917235434,4.316607549,-119.3045425,3,control,-70,0.477225395,0.404002487
2020_02_13_0024,-169.4521942,-31.42423248,59.01369437,318.2257516,259.2120572,0.925765634,3.957955686,-119.9480286,3,control,-70,0.610053521,0.351895457
2020_02_13_0024,-169.9487457,-33.15995789,58.8412698,301.5685374,242.7272676,0.901021183,4.17969575,-114.9570923,3,control,-70,0.528078309,0.384111144
2020_02_13_0024,-169.6673737,-32.06277847,58.93885067,311.8881294,252.9492787,0.958942711,4.048317545,-119.1772385,3,control,-70,0.578910109,0.365023754
2020_02_13_0024,-170.2384033,-34.10600281,58.74115244,293.2035178,234.4623653,0.851064682,4.010206871,-118.5581665,3,control,-70,0.486978778,0.359486813
2020_02_13_0024,-170.7618561,-30.79978561,58.56108753,324.6775846,266.1164971,0.983497381,4.110476596,-119.9672089,3,control,-70,0.644387774,0.374054582
2020_02_13_0024,-170.8363495,-36.0671196,58.53555189,277.2608434,218.7252915,0.933043301,4.990771939,-111.9838104,3,control,-70,0.408721791,0.501949014
